Source,Target
"A mile above the shepherd's hut the hillsides ceased their upward rolling and curved together to <b>create</b> a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road, hidden deep in the folds of the moors.",form
"A mile above the shepherd's hut the hillsides ceased their upward rolling and curved together to <b>comprise</b> a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road, hidden deep in the folds of the moors.",form
"A mile above the shepherd's hut the hillsides ceased their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road, hidden deep in the <b>crevices</b> of the moors.",folds
"A mile above the shepherd's hut the hillsides ceased their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road, hidden deep in the <b>hills</b> of the moors.",folds
"A mile above the shepherd's hut the hillsides ceased their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road, hidden deep in the <b>creases</b> of the moors.",folds
The old drover's road turned aside here and climbed under the rock <b>cliffs</b> of White Crags to continue its lonely course over Girdle Fell and down into Redesdale.,faces
The old drover's road turned aside here and climbed under the rock <b>surfaces</b> of White Crags to continue its lonely course over Girdle Fell and down into Redesdale.,faces
The old drover's road turned aside here and climbed under the rock <b>facades</b> of White Crags to continue its lonely course over Girdle Fell and down into Redesdale.,faces
The old drover's road turned aside here and climbed under the rock <b>silhouette</b> of White Crags to continue its lonely course over Girdle Fell and down into Redesdale.,faces
The old drover's road turned aside here and climbed under the rock <b>facade</b> of White Crags to continue its lonely course over Girdle Fell and down into Redesdale.,faces
The old drover's road turned aside here and climbed under the rock <b>walls</b> of White Crags to continue its lonely course over Girdle Fell and down into Redesdale.,faces
The old drover's road turned aside here and climbed under the rock <b>wall</b> of White Crags to continue its lonely course over Girdle Fell and down into Redesdale.,faces
"Not a sign of spring had yet penetrated this secret valley, but another month would <b>set</b> that right.",put
"Not a sign of spring had yet penetrated this secret valley, but another month would <b>see</b> that right.",put
"There were five miles of return tramping to face, but they, too, could <b>delay</b> awhile.",wait
"There were five miles of return tramping to face, but they, too, could <b>pause</b> awhile.",wait
"For <b>seasoned</b> drinkers there is the production of cognac to investigate around Cognac, plus the chance to sample pineau, the powerful local aperitif made from young wine laced with cognac.",serious
"For <b>genuine</b> drinkers there is the production of cognac to investigate around Cognac, plus the chance to sample pineau, the powerful local aperitif made from young wine laced with cognac.",serious
"For <b>dedicated</b> drinkers there is the production of cognac to investigate around Cognac, plus the chance to sample pineau, the powerful local aperitif made from young wine laced with cognac.",serious
"For <b>cultured</b> drinkers there is the production of cognac to investigate around Cognac, plus the chance to sample pineau, the powerful local aperitif made from young wine laced with cognac.",serious
"For <b>heavy</b> drinkers there is the production of cognac to investigate around Cognac, plus the chance to sample pineau, the powerful local aperitif made from young wine laced with cognac.",serious
"For serious drinkers there is the production of cognac to investigate around Cognac, plus the chance to sample pineau, the powerful local aperitif made from <b>immature</b> wine laced with cognac.",young
"For serious drinkers there is the production of cognac to investigate around Cognac, plus the chance to sample pineau, the powerful local aperitif made from <b>youthful</b> wine laced with cognac.",young
"For serious drinkers there is the production of cognac to investigate around Cognac, plus the chance to sample pineau, the powerful local aperitif made from <b>junior</b> wine laced with cognac.",young
"For serious drinkers there is the production of cognac to investigate around Cognac, plus the chance to sample pineau, the powerful local aperitif made from <b>fresh</b> wine laced with cognac.",young
"To the north, where Poitou borders on the Vendee, shapely <b>groups</b> of trees are almost the only punctuation marks on widespreading marshy landscapes; to the south it bubbles with little rolling hills.",clumps
"Water is everywhere: canals, streams, small busy rivers with charming names like the Boutonne, the Mignon and the Belle, and big <b>sluggish</b> rivers like the Sevre Niortaise and the Charente.",lazy
"Water is everywhere: canals, streams, small busy rivers with charming names like the Boutonne, the Mignon and the Belle, and big <b>winding</b> rivers like the Sevre Niortaise and the Charente.",lazy
"Water is everywhere: canals, streams, small busy rivers with charming names like the Boutonne, the Mignon and the Belle, and big <b>lethargic</b> rivers like the Sevre Niortaise and the Charente.",lazy
"Water is everywhere: canals, streams, small busy rivers with charming names like the Boutonne, the Mignon and the Belle, and big <b>idle</b> rivers like the Sevre Niortaise and the Charente.",lazy
"Water is everywhere: canals, streams, small busy rivers with charming names like the Boutonne, the Mignon and the Belle, and big <b>relaxed</b> rivers like the Sevre Niortaise and the Charente.",lazy
"Drifting between grassy polders to which farmers have to ferry their cattle in punts, or <b>pursuing</b> leafy twisting lanes marked only by rusty signs proclaiming the â€˜Venise Verteâ€™, you're in an all-green, mysteriously silent world; only the occasional fisherman, twitching his rod above the algae-smothered waters, disturbs the stillness.",following
"Drifting between grassy polders to which farmers have to ferry their cattle in punts, or <b>navigating</b> leafy twisting lanes marked only by rusty signs proclaiming the â€˜Venise Verteâ€™, you're in an all-green, mysteriously silent world; only the occasional fisherman, twitching his rod above the algae-smothered waters, disturbs the stillness.",following
"Drifting between grassy polders to which farmers have to ferry their cattle in punts, or <b>stalking</b> leafy twisting lanes marked only by rusty signs proclaiming the â€˜Venise Verteâ€™, you're in an all-green, mysteriously silent world; only the occasional fisherman, twitching his rod above the algae-smothered waters, disturbs the stillness.",following
"Drifting between grassy polders to which farmers have to ferry their cattle in punts, or <b>trailing</b> leafy twisting lanes marked only by rusty signs proclaiming the â€˜Venise Verteâ€™, you're in an all-green, mysteriously silent world; only the occasional fisherman, twitching his rod above the algae-smothered waters, disturbs the stillness.",following
"Drifting between grassy polders to which farmers have to ferry their cattle in punts, or following leafy <b>winding</b> lanes marked only by rusty signs proclaiming the â€˜Venise Verteâ€™, you're in an all-green, mysteriously silent world; only the occasional fisherman, twitching his rod above the algae-smothered waters, disturbs the stillness.",twisting
"Drifting between grassy polders to which farmers have to ferry their cattle in punts, or following leafy <b>meandering</b> lanes marked only by rusty signs proclaiming the â€˜Venise Verteâ€™, you're in an all-green, mysteriously silent world; only the occasional fisherman, twitching his rod above the algae-smothered waters, disturbs the stillness.",twisting
"Somnolent now within its low grey walls and stumpy towers, it was once <b>wealthy</b> on salt, and powerful to boot.",rich
"Somnolent now within its low grey walls and stumpy towers, it was once <b>lush</b> on salt, and powerful to boot.",rich
"Somnolent now within its low grey walls and stumpy towers, it was once <b>liberal</b> on salt, and powerful to boot.",rich
"As you come back from Brouage towards St Jean-d'Angely â€” on the D18 via the canalside village of Pont-l'Abbe-d'Arnoult, with a lovely Romanesque church faade â€” a sign at the junction of the D122 <b>directs</b> you to the chateau whose improbably perfect lake and gardens stare at you from posters throughout the region: La Roche Courbon.",points
"As you come back from Brouage towards St Jean-d'Angely â€” on the D18 via the canalside village of Pont-l'Abbe-d'Arnoult, with a lovely Romanesque church faade â€” a sign at the junction of the D122 <b>leads</b> you to the chateau whose improbably perfect lake and gardens stare at you from posters throughout the region: La Roche Courbon.",points
"Wriggling across country on the D216 to Port-d'Envaux, you come to two more chateaux: 18th-century Panloy, flaking romantically away on its hillock overlooking a bend in the Charente and, almost next door, the much older, moated Crazannes, half-<b>covered</b> in amazing flamboyant Gothic carving.",smothered
"It makes a conveniently central hub: the Marais Poitevin village of Coulon is 27 miles to the north by the D120, which inexplicably <b>alters</b> its number at the top of a hill to D115.",changes
"It makes a conveniently central hub: the Marais Poitevin village of Coulon is 27 miles to the north by the D120, which inexplicably <b>updates</b> its number at the top of a hill to D115.",changes
"It makes a conveniently central hub: the Marais Poitevin village of Coulon is 27 miles to the north by the D120, which inexplicably <b>morphs</b> its number at the top of a hill to D115.",changes
"It makes a conveniently central hub: the Marais Poitevin village of Coulon is 27 miles to the north by the D120, which inexplicably <b>modifies</b> its number at the top of a hill to D115.",changes
"Just <b>below</b> 10 miles south-west of St Jean, on the Brouage road, St-Savinien is at the upper limit of the tidal reaches of the Charente.",under
"Just <b>nearly</b> 10 miles south-west of St Jean, on the Brouage road, St-Savinien is at the upper limit of the tidal reaches of the Charente.",under
"But Aulnay, just over 10 miles north-east of St Jean, is probably the best, its <b>modest</b> architecture a perfect frame for the sheer artistry of the carvings round its doors and windows.",unassuming
"But Aulnay, just over 10 miles north-east of St Jean, is probably the best, its <b>neutral</b> architecture a perfect frame for the sheer artistry of the carvings round its doors and windows.",unassuming
"But Aulnay, just over 10 miles north-east of St Jean, is probably the best, its <b>plain</b> architecture a perfect frame for the sheer artistry of the carvings round its doors and windows.",unassuming
"But Aulnay, just over 10 miles north-east of St Jean, is probably the best, its <b>simple</b> architecture a perfect frame for the sheer artistry of the carvings round its doors and windows.",unassuming
"But Aulnay, just over 10 miles north-east of St Jean, is probably the best, its <b>subtle</b> architecture a perfect frame for the sheer artistry of the carvings round its doors and windows.",unassuming
"Biblical <b>themes</b> recur â€” some art-experts call them sermons in stone, and their messages would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain.",motifs
"Biblical <b>concepts</b> recur â€” some art-experts call them sermons in stone, and their messages would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain.",motifs
"Biblical <b>representations</b> recur â€” some art-experts call them sermons in stone, and their messages would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain.",motifs
"Biblical <b>designs</b> recur â€” some art-experts call them sermons in stone, and their messages would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain.",motifs
"Biblical motifs recur â€” some art-experts call them sermons in stone, and their <b>communication</b> would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain.",messages
"Biblical motifs recur â€” some art-experts call them sermons in stone, and their <b>meanings</b> would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain.",messages
"Biblical motifs recur â€” some art-experts call them sermons in stone, and their <b>meaning</b> would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain.",messages
"Biblical motifs recur â€” some art-experts call them sermons in stone, and their <b>memos</b> would certainly have been clear to the often-illiterate medieval pilgrims trudging to Santiago de Compostela in Spain.",messages
"But these themes are always interspersed with more fanciful ones: <b>scowling</b> masks, weird animals, exuberant abstract patterns.",grimacing
"But these themes are always interspersed with more fanciful ones: <b>glowering</b> masks, weird animals, exuberant abstract patterns.",grimacing
"But these themes are always interspersed with more fanciful ones: <b>sneering</b> masks, weird animals, exuberant abstract patterns.",grimacing
"But these themes are always interspersed with more fanciful ones: grimacing masks, weird animals, <b>loud</b> abstract patterns.",exuberant
"But these themes are always interspersed with more fanciful ones: grimacing masks, weird animals, <b>weird</b> abstract patterns.",exuberant
"But these themes are always interspersed with more fanciful ones: grimacing masks, weird animals, <b>extravagant</b> abstract patterns.",exuberant
"But these themes are always interspersed with more fanciful ones: grimacing masks, weird animals, <b>energetic</b> abstract patterns.",exuberant
"But these themes are always interspersed with more fanciful ones: grimacing masks, weird animals, <b>buoyant</b> abstract patterns.",exuberant
Today's attraction-<b>agents</b> are doing no more to lure 20th-century tourists than their medieval forebears did for pilgrims.,merchants
Today's attraction-<b>traders</b> are doing no more to lure 20th-century tourists than their medieval forebears did for pilgrims.,merchants
Today's attraction-<b>operators</b> are doing no more to lure 20th-century tourists than their medieval forebears did for pilgrims.,merchants
Today's attraction-<b>sellers</b> are doing no more to lure 20th-century tourists than their medieval forebears did for pilgrims.,merchants
"It mostly seems to involve producing food for animals to eat, whose excrement is then collected to <b>help</b> the growth of more food for animals.",assist
"It mostly seems to involve producing food for animals to eat, whose excrement is then collected to <b>aid</b> the growth of more food for animals.",assist
"Small children can sometimes be persuaded to eat cow cake in the same way that old people will eat cat food, but the chief result of all this farming was to produce huge food <b>piles</b> which we could then refuse to give to the Third World, or to the socialists of Eastern Europe, in order to teach them the error of their ways.",mountains
"Small children can sometimes be persuaded to eat cow cake in the same way that old people will eat cat food, but the chief result of all this farming was to produce huge food <b>stocks</b> which we could then refuse to give to the Third World, or to the socialists of Eastern Europe, in order to teach them the error of their ways.",mountains
"Small children can sometimes be persuaded to eat cow cake in the same way that old people will eat cat food, but the chief result of all this farming was to produce huge food <b>wastes</b> which we could then refuse to give to the Third World, or to the socialists of Eastern Europe, in order to teach them the error of their ways.",mountains
"Small children can sometimes be persuaded to eat cow cake in the same way that old people will eat cat food, but the chief result of all this farming was to produce huge food <b>stockpiles</b> which we could then refuse to give to the Third World, or to the socialists of Eastern Europe, in order to teach them the error of their ways.",mountains
"Small children can sometimes be persuaded to eat cow cake in the same way that old people will eat cat food, but the chief result of all this farming was to produce huge food mountains which we could then refuse to give to the Third World, or to the socialists of Eastern Europe, in order to teach them the error of their <b>actions</b>.",ways
"Small children can sometimes be persuaded to eat cow cake in the same way that old people will eat cat food, but the chief result of all this farming was to produce huge food mountains which we could then refuse to give to the Third World, or to the socialists of Eastern Europe, in order to teach them the error of their <b>attitudes</b>.",ways
"Small children can sometimes be persuaded to eat cow cake in the same way that old people will eat cat food, but the chief result of all this farming was to produce huge food mountains which we could then refuse to give to the Third World, or to the socialists of Eastern Europe, in order to teach them the error of their <b>conduct</b>.",ways
"Small children can sometimes be persuaded to eat cow cake in the same way that old people will eat cat food, but the chief result of all this farming was to produce huge food mountains which we could then refuse to give to the Third World, or to the socialists of Eastern Europe, in order to teach them the error of their <b>systems</b>.",ways
"The <b>flagpoles</b> may seem unsightly to those unused to them, but I am sure it is simply a matter of getting accustomed.",masts
"The <b>posts</b> may seem unsightly to those unused to them, but I am sure it is simply a matter of getting accustomed.",masts
"The <b>poles</b> may seem unsightly to those unused to them, but I am sure it is simply a matter of getting accustomed.",masts
"Nail clippers, combs, toothpaste and toothbrushes, razors and washbags are neatly laid out on tables in the cells to <b>anticipate</b> the arrival of inmates, many of whom will not be carrying such items because they may not have expected to be remanded in custody.",await
"Nail clippers, combs, toothpaste and toothbrushes, razors and washbags are neatly laid out on tables in the cells to <b>welcome</b> the arrival of inmates, many of whom will not be carrying such items because they may not have expected to be remanded in custody.",await
"Group 4 Remand Services Ltd, the security firm <b>chosen</b> by the Home Office to manage The Wolds in a Â£5 million-a-year contract, likes to think of its prisoners as customers.",selected
"Group 4 Remand Services Ltd, the security firm selected by the Home Office to <b>oversee</b> The Wolds in a Â£5 million-a-year contract, likes to think of its prisoners as customers.",manage
"Group 4 Remand Services Ltd, the security firm selected by the Home Office to <b>organise</b> The Wolds in a Â£5 million-a-year contract, likes to think of its prisoners as customers.",manage
"Group 4 Remand Services Ltd, the security firm selected by the Home Office to <b>control</b> The Wolds in a Â£5 million-a-year contract, likes to think of its prisoners as customers.",manage
"Group 4 Remand Services Ltd, the security firm selected by the Home Office to manage The Wolds in a Â£5 million-a-year contract, <b>prefers</b> to think of its prisoners as customers.",likes
"â€˜It may seem a little <b>strange</b> for prison staff to be looking at their prisoners as customers, but they are the direct consumers of our service,â€™ explained Mr Stephen Twinn, prison director, who spent 23 years in the public sector at various grades of prison governor.",odd
"â€˜It may seem a little <b>unusual</b> for prison staff to be looking at their prisoners as customers, but they are the direct consumers of our service,â€™ explained Mr Stephen Twinn, prison director, who spent 23 years in the public sector at various grades of prison governor.",odd
"â€˜It may seem a little <b>peculiar</b> for prison staff to be looking at their prisoners as customers, but they are the direct consumers of our service,â€™ explained Mr Stephen Twinn, prison director, who spent 23 years in the public sector at various grades of prison governor.",odd
"â€˜It may seem a little odd for prison staff to be looking at their prisoners as customers, but they are the direct consumers of our service,â€™ explained Mr Stephen Twinn, prison director, who <b>lasted</b> 23 years in the public sector at various grades of prison governor.",spent
"â€˜It may seem a little odd for prison staff to be looking at their prisoners as customers, but they are the direct consumers of our service,â€™ explained Mr Stephen Twinn, prison director, who <b>devoted</b> 23 years in the public sector at various grades of prison governor.",spent
"â€˜It may seem a little odd for prison staff to be looking at their prisoners as customers, but they are the direct consumers of our service,â€™ explained Mr Stephen Twinn, prison director, who <b>worked</b> 23 years in the public sector at various grades of prison governor.",spent
"â€˜It may seem a little odd for prison staff to be looking at their prisoners as customers, but they are the direct consumers of our service,â€™ explained Mr Stephen Twinn, prison director, who <b>endured</b> 23 years in the public sector at various grades of prison governor.",spent
Has the election campaign penetrated its <b>bleak</b> streets?,grim
Has the election campaign penetrated its <b>sad</b> streets?,grim
Has the election campaign penetrated its <b>rough</b> streets?,grim
Has the election campaign penetrated its <b>dank</b> streets?,grim
Political <b>awareness</b> is low on the Meadowell Estate.,consciousness
Political <b>thinking</b> is low on the Meadowell Estate.,consciousness
Political <b>knowledge</b> is low on the Meadowell Estate.,consciousness
Political consciousness is <b>small</b> on the Meadowell Estate.,low
Political consciousness is <b>scarce</b> on the Meadowell Estate.,low
Political consciousness is <b>moderate</b> on the Meadowell Estate.,low
Political consciousness is <b>lacking</b> on the Meadowell Estate.,low
Political consciousness is <b>unusual</b> on the Meadowell Estate.,low
"Very few know their MP is a Conservative, and hardly anyone that his name is Neville Trotter, <b>protector</b> of a slender 2,500 majority.",defender
"Very few know their MP is a Conservative, and hardly anyone that his name is Neville Trotter, <b>with</b> of a slender 2,500 majority.",defender
"Very few know their MP is a Conservative, and hardly anyone that his name is Neville Trotter, <b>guardian</b> of a slender 2,500 majority.",defender
"Very few know their MP is a Conservative, and hardly anyone that his name is Neville Trotter, <b>supporter</b> of a slender 2,500 majority.",defender
"Very few know their MP is a Conservative, and hardly anyone that his name is Neville Trotter, defender of a <b>slim</b> 2,500 majority.",slender
"Very few know their MP is a Conservative, and hardly anyone that his name is Neville Trotter, defender of a <b>modest</b> 2,500 majority.",slender
"Very few know their MP is a Conservative, and hardly anyone that his name is Neville Trotter, defender of a <b>meager</b> 2,500 majority.",slender
"Very few know their MP is a Conservative, and hardly anyone that his name is Neville Trotter, defender of a <b>narrow</b> 2,500 majority.",slender
"Very few know their MP is a Conservative, and hardly anyone that his name is Neville Trotter, defender of a <b>minimal</b> 2,500 majority.",slender
"Some say it was the importing of whole streets of fighting families from the fishquays, with their dockland diversions of prostitution, drug-dealing and <b>fencing</b>.",handling
"Some say it was the importing of whole streets of fighting families from the fishquays, with their dockland diversions of prostitution, drug-dealing and <b>trafficking</b>.",handling
"By the 1950s, The Ridges was the criminal ghetto of Newcastle, and by the 1970s a costly council <b>decorative</b> job had turned it into a free-fire zone.",manicure
"By the 1950s, The Ridges was the criminal ghetto of Newcastle, and by the 1970s a costly council <b>pedicure</b> job had turned it into a free-fire zone.",manicure
"By the 1950s, The Ridges was the criminal ghetto of Newcastle, and by the 1970s a costly council <b>cover</b> job had turned it into a free-fire zone.",manicure
"By the 1950s, The Ridges was the criminal ghetto of Newcastle, and by the 1970s a costly council <b>polishing</b> job had turned it into a free-fire zone.",manicure
"By the 1950s, The Ridges was the criminal ghetto of Newcastle, and by the 1970s a costly council <b>review</b> job had turned it into a free-fire zone.",manicure
"By the 1950s, The Ridges was the criminal ghetto of Newcastle, and by the 1970s a costly council <b>cleaning</b> job had turned it into a free-fire zone.",manicure
"Paths and boundaries vanished, <b>letting</b> the tides of street life to wash right up to the doorsteps.",allowing
"Paths and boundaries vanished, <b>concede</b> the tides of street life to wash right up to the doorsteps.",allowing
"Paths and boundaries vanished, <b>enabling</b> the tides of street life to wash right up to the doorsteps.",allowing
"The age <b>composition</b> of Meadowell means it is awash with teenagers, whose only pastimes are having babies and body-building.",structure
"The age <b>network</b> of Meadowell means it is awash with teenagers, whose only pastimes are having babies and body-building.",structure
"The age <b>framework</b> of Meadowell means it is awash with teenagers, whose only pastimes are having babies and body-building.",structure
"The age <b>profile</b> of Meadowell means it is awash with teenagers, whose only pastimes are having babies and body-building.",structure
"â€˜Free Willy Hunterâ€™ <b>commands</b> the graffiti, next to the old, fading graffiti for Dale Robson and Colin Atkins.",say
"â€˜Free Willy Hunterâ€™ <b>spells</b> the graffiti, next to the old, fading graffiti for Dale Robson and Colin Atkins.",say
"â€˜Free Willy Hunterâ€™ <b>express</b> the graffiti, next to the old, fading graffiti for Dale Robson and Colin Atkins.",say
"â€˜Free Willy Hunterâ€™ <b>utters</b> the graffiti, next to the old, fading graffiti for Dale Robson and Colin Atkins.",say
"â€˜Free Willy Hunterâ€™ <b>pleads</b> the graffiti, next to the old, fading graffiti for Dale Robson and Colin Atkins.",say
"â€˜Free Willy Hunterâ€™ <b>declared</b> the graffiti, next to the old, fading graffiti for Dale Robson and Colin Atkins.",say
"â€˜Free Willy Hunterâ€™ <b>state</b> the graffiti, next to the old, fading graffiti for Dale Robson and Colin Atkins.",say
"My friend Kevin, muscleman and minicab driver, says the lads would be out rioting for Willy now if it wasn't <b>pouring</b> down with rain the whole time.",tipping
"My friend Kevin, muscleman and minicab driver, says the lads would be out rioting for Willy now if it wasn't <b>lashing</b> down with rain the whole time.",tipping
"My friend Kevin, muscleman and minicab driver, says the lads would be out rioting for Willy now if it wasn't <b>bucketing</b> down with rain the whole time.",tipping
"MP Neville Trotter is a <b>rotund</b> Tory with pear-shaped vowels who has little appeal to the people of Meadowell, and a dwindling appeal in the middle-class suburbs where unemployment is also climbing.",pear-shaped
"MP Neville Trotter is a <b>curvy</b> Tory with pear-shaped vowels who has little appeal to the people of Meadowell, and a dwindling appeal in the middle-class suburbs where unemployment is also climbing.",pear-shaped
"MP Neville Trotter is a <b>ovoid</b> Tory with pear-shaped vowels who has little appeal to the people of Meadowell, and a dwindling appeal in the middle-class suburbs where unemployment is also climbing.",pear-shaped
"Paddy Cosgrove, his likely replacement, is a council <b>worker</b> of 21 years standing and ideal backbench fodder, though it is hard to imagine him leading a crusade for Meadowell.",hack
"Paddy Cosgrove, his likely replacement, is a council <b>lackey</b> of 21 years standing and ideal backbench fodder, though it is hard to imagine him leading a crusade for Meadowell.",hack
"Paddy Cosgrove, his likely replacement, is a council <b>stalwart</b> of 21 years standing and ideal backbench fodder, though it is hard to imagine him leading a crusade for Meadowell.",hack
"Paddy Cosgrove, his likely replacement, is a council hack of 21 years standing and ideal backbench <b>purpose</b>, though it is hard to imagine him leading a crusade for Meadowell.",fodder
"Paddy Cosgrove, his likely replacement, is a council hack of 21 years standing and ideal backbench <b>ammunition</b>, though it is hard to imagine him leading a crusade for Meadowell.",fodder
"Paddy Cosgrove, his likely replacement, is a council hack of 21 years standing and ideal backbench <b>attrition</b>, though it is hard to imagine him leading a crusade for Meadowell.",fodder
"Paddy Cosgrove, his likely replacement, is a council hack of 21 years standing and ideal backbench <b>weaponry</b>, though it is hard to imagine him leading a crusade for Meadowell.",fodder
"Paddy Cosgrove, his likely replacement, is a council hack of 21 years standing and ideal backbench fodder, though it is hard to imagine him <b>directing</b> a crusade for Meadowell.",leading
"Paddy Cosgrove, his likely replacement, is a council hack of 21 years standing and ideal backbench fodder, though it is hard to imagine him <b>heading</b> a crusade for Meadowell.",leading
"Paddy Cosgrove, his likely replacement, is a council hack of 21 years standing and ideal backbench fodder, though it is hard to imagine him <b>guiding</b> a crusade for Meadowell.",leading
When I ask the people of the estate what they want from this election some say they want Cheviot to <b>replace</b> it and others that it would be better grassed over.,rebuild
When I ask the people of the estate what they want from this election some say they want Cheviot to <b>reassemble</b> it and others that it would be better grassed over.,rebuild
When I ask the people of the estate what they want from this election some say they want Cheviot to <b>recreate</b> it and others that it would be better grassed over.,rebuild
When I ask the people of the estate what they want from this election some say they want Cheviot to <b>revamp</b> it and others that it would be better grassed over.,rebuild
When I ask the people of the estate what they want from this election some say they want Cheviot to <b>reconstruct</b> it and others that it would be better grassed over.,rebuild
The Prime Minister was on his <b>platform</b>.,soapbox
The Prime Minister was on his <b>stage</b>.,soapbox
The Prime Minister was on his <b>high-horse</b>.,soapbox
"Just up the road, at Langport in Somerset, was the birthplace of Walter Bagehot (1826â€“1877), although as he <b>pointed</b> his microphone at Liberal Democrat hecklers John Major had other things on his mind.",directed
"Just up the road, at Langport in Somerset, was the birthplace of Walter Bagehot (1826â€“1877), although as he <b>aimed</b> his microphone at Liberal Democrat hecklers John Major had other things on his mind.",directed
"The travelling chaos of a modern party leader's election entourage had <b>brought</b> Major within a few miles of the home of the founder of the profession, a few of whose more troublesome contemporary practitioners are said to have caused him much irritation over the 16 months of his premiership.",carried
"The travelling chaos of a modern party leader's election entourage had <b>transported</b> Major within a few miles of the home of the founder of the profession, a few of whose more troublesome contemporary practitioners are said to have caused him much irritation over the 16 months of his premiership.",carried
"The travelling chaos of a modern party leader's election entourage had <b>delivered</b> Major within a few miles of the home of the founder of the profession, a few of whose more troublesome contemporary practitioners are said to have caused him much irritation over the 16 months of his premiership.",carried
"The travelling chaos of a modern party leader's election entourage had <b>deposited</b> Major within a few miles of the home of the founder of the profession, a few of whose more troublesome contemporary practitioners are said to have caused him much irritation over the 16 months of his premiership.",carried
"The travelling chaos of a modern party leader's election entourage had <b>lifted</b> Major within a few miles of the home of the founder of the profession, a few of whose more troublesome contemporary practitioners are said to have caused him much irritation over the 16 months of his premiership.",carried
He's <b>confessed</b> to being a Liberal!â€™,admitted
He's <b>revealed</b> to being a Liberal!â€™,admitted
He's <b>professed</b> to being a Liberal!â€™,admitted
"But, like all the best soapbox orators, Major had prepared his repartee in <b>readiness</b>.",advance
There were also some lines intended for local <b>utilization</b>: â€˜Higher petrol prices from the Liberal Democrats â€¦ that's not gon na help a rural area â€¦,consumption
There were also some lines intended for local <b>use</b>: â€˜Higher petrol prices from the Liberal Democrats â€¦ that's not gon na help a rural area â€¦,consumption
There were also some lines intended for local <b>utilisation</b>: â€˜Higher petrol prices from the Liberal Democrats â€¦ that's not gon na help a rural area â€¦,consumption
"There the similarity ends, since judging from his writings Bagehot was a <b>complete</b> snob, whereas judging from his heckles the heckler was not.",roaring
"There the similarity ends, since judging from his writings Bagehot was a <b>outright</b> snob, whereas judging from his heckles the heckler was not.",roaring
"There the similarity ends, since judging from his writings Bagehot was a <b>huge</b> snob, whereas judging from his heckles the heckler was not.",roaring
"There the similarity ends, since judging from his writings Bagehot was a <b>resounding</b> snob, whereas judging from his heckles the heckler was not.",roaring
"There the similarity ends, since judging from his writings Bagehot was a <b>tremendous</b> snob, whereas judging from his heckles the heckler was not.",roaring
"More to the <b>crux</b>, it was Bagehot who said: â€˜A constitutional statesman is in general a man of common opinions and uncommon abilities.â€™",point
"More to the <b>subject</b>, it was Bagehot who said: â€˜A constitutional statesman is in general a man of common opinions and uncommon abilities.â€™",point
"More to the <b>aspect</b>, it was Bagehot who said: â€˜A constitutional statesman is in general a man of common opinions and uncommon abilities.â€™",point
"More to the <b>fact</b>, it was Bagehot who said: â€˜A constitutional statesman is in general a man of common opinions and uncommon abilities.â€™",point
"More to the <b>pertinently</b>, it was Bagehot who said: â€˜A constitutional statesman is in general a man of common opinions and uncommon abilities.â€™",point
"More to the point, it was Bagehot who said: â€˜A <b>fundamental</b> statesman is in general a man of common opinions and uncommon abilities.â€™",constitutional
"More to the point, it was Bagehot who said: â€˜A <b>important</b> statesman is in general a man of common opinions and uncommon abilities.â€™",constitutional
"A political commentator of our own day, Paul Johnson, quoted it not long after Major became Prime Minister to <b>intimate</b> that it was also true of him.",suggest
"A political commentator of our own day, Paul Johnson, quoted it not long after Major became Prime Minister to <b>propose</b> that it was also true of him.",suggest
"A political commentator of our own day, Paul Johnson, quoted it not long after Major became Prime Minister to <b>imply</b> that it was also true of him.",suggest
"A political commentator of our own day, Paul Johnson, quoted it not long after Major became Prime Minister to <b>hint</b> that it was also true of him.",suggest
"A political commentator of our own day, Paul Johnson, quoted it not long after Major became Prime Minister to <b>maintain</b> that it was also true of him.",suggest
Original theories <b>cause</b> troubleâ€™.,give
Original theories <b>provide</b> troubleâ€™.,give
Original theories <b>produce</b> troubleâ€™.,give
"Of almost all the great measures with which his name is associated, he attained <b>considerable</b> eminence as an opponent before he attained even greater eminence as their advocate.â€™",great
"Of almost all the great measures with which his name is associated, he attained <b>substantial</b> eminence as an opponent before he attained even greater eminence as their advocate.â€™",great
"Of almost all the great measures with which his name is associated, he attained <b>high</b> eminence as an opponent before he attained even greater eminence as their advocate.â€™",great
"But the most striking <b>notion</b> about Bagehot's essay on Peel, in the light of the last full week of this election campaign, is that it simply does not apply to Major at all.",thing
